test_size,epochs,nblayers,fake,r2,evs,mae,time
0.985,12,1,1,0.5976452392780001,0.5989251004775535,0.45088692698985944,1.1358160972595215
0.985,13,1,1,0.593737249638033,0.6048880555717723,0.43625431540966975,1.210233211517334
0.985,14,1,1,0.6088404096206581,0.6098482588297796,0.45297633637081675,1.4528183937072754
0.985,15,1,1,0.6393145541789039,0.6410401322130297,0.42681859635602015,1.3437612056732178
0.985,16,1,1,0.6040817170684589,0.6100769978899152,0.45479922083018737,1.464080810546875
0.985,17,1,1,0.6615905724378147,0.6632081500411959,0.40238393009271944,1.4508295059204102
0.985,18,1,1,0.6247254336011319,0.6395578740960708,0.4248511046821619,1.5589540004730225
0.985,19,1,1,0.6527405553349456,0.653618359509719,0.41576765924335757,1.7825236320495605
0.985,20,1,1,0.6107073438892017,0.6142454899145003,0.4425165267561085,1.733247995376587
0.99,1,1,1,-0.08114309371170592,-0.08017623227804949,0.8251154153072301,0.4764704704284668
0.99,2,1,1,0.04495345218005875,0.044995541520707505,0.7545001557836186,0.5275676250457764
0.99,3,1,1,0.017334397541588498,0.03243761849708238,0.7655051178792329,0.5498759746551514
0.99,4,1,1,0.08058762872998837,0.11092401461192891,0.7378221941785463,0.6324682235717773
0.99,5,1,1,0.3755918792189049,0.3799691697602243,0.6038236090914829,0.6843726634979248
0.99,6,1,1,0.30011099647204464,0.32445763126766125,0.6412507881658698,0.8619174957275391
0.99,7,1,1,0.45999209855407674,0.4626733536242319,0.544221563383709,0.9164433479309082
0.99,8,1,1,0.44343472069709344,0.4439502750349251,0.5594684701749174,0.9625895023345947
0.99,9,1,1,0.46104360953186185,0.46814827349765775,0.5408382497731038,0.9787008762359619
0.99,10,1,1,0.26130127305619855,0.2855818448440427,0.6457209394482943,1.0583765506744385
0.99,11,1,1,0.5127983553102224,0.5128001627854106,0.5151308314220184,1.0583810806274414
0.99,12,1,1,0.4457143349392664,0.48046786934327035,0.5247295430936649,1.1217660903930664
0.99,13,1,1,0.5934407851823136,0.5939728339036956,0.4588806875436295,1.2336573600769043
